sol_id,cargolist,ships,constr,algo,b_var,hc,hc_n,iter_n,packages_n,total_costs,total_costs_pct,mass_pct,volume_pct
0,1,False,False,greedy,first,False,20,10000,78,1981516230,0.6,84.57,86.07
1,1,False,False,greedy,first,False,20,10000,78,1983745110,0.6,86.87,85.41
2,1,False,False,greedy,first,False,20,10000,79,1985298815,0.6,86.87,87.7
3,1,False,False,greedy,first,False,20,10000,78,1982619035,0.6,85.63,86.26
4,1,False,False,greedy,first,False,20,10000,80,1986671770,0.6,87.44,87.76
5,1,False,False,greedy,first,False,20,10000,77,1982151060,0.6,86.08,86.4
6,1,False,False,greedy,first,False,20,10000,78,1983741675,0.6,86.82,86.32
7,1,False,False,greedy,first,False,20,10000,78,1983191305,0.6,86.35,86.28
8,1,False,False,greedy,first,False,20,10000,80,1985275260,0.6,87.63,88.01
9,1,False,False,greedy,first,False,20,10000,80,1985044265,0.6,87.49,87.65
10,1,False,False,greedy,first,False,20,10000,78,1983350565,0.6,86.71,85.91
11,1,False,False,greedy,first,False,20,10000,77,1980674280,0.6,84.5,84.97
12,1,False,False,greedy,first,False,20,10000,79,1982726945,0.6,85.82,86.61
13,1,False,False,greedy,first,False,20,10000,80,1983272505,0.6,85.78,87.45
14,1,False,False,greedy,first,False,20,10000,81,1987721820,0.6,88.27,88.52
15,1,False,False,greedy,first,False,20,10000,79,1981161130,0.6,85.32,86.15
16,1,False,False,greedy,first,False,20,10000,79,1982706280,0.6,85.53,85.67
17,1,False,False,greedy,first,False,20,10000,78,1982616595,0.6,85.94,86.0
18,1,False,False,greedy,first,False,20,10000,79,1983512200,0.6,85.76,86.28
19,1,False,False,greedy,first,False,20,10000,76,1978473580,0.59,83.15,84.62
20,1,False,False,greedy,first,False,20,10000,79,1985163160,0.6,87.72,87.41
21,1,False,False,greedy,first,False,20,10000,79,1984416470,0.6,86.58,86.87
22,1,False,False,greedy,first,False,20,10000,79,1985841540,0.6,87.65,87.27
23,1,False,False,greedy,first,False,20,10000,79,1981209365,0.6,85.17,86.82
24,1,False,False,greedy,first,False,20,10000,80,1985084735,0.6,87.13,87.26
25,1,False,False,greedy,first,False,20,10000,79,1983506975,0.6,86.59,87.22
26,1,False,False,greedy,first,False,20,10000,80,1982834355,0.6,85.7,86.38
27,1,False,False,greedy,first,False,20,10000,80,1983731865,0.6,86.89,88.17
28,1,False,False,greedy,first,False,20,10000,78,1980684330,0.6,84.47,85.8
29,1,False,False,greedy,first,False,20,10000,78,1980397630,0.6,84.45,85.64
30,1,False,False,greedy,first,False,20,10000,79,1980913765,0.6,84.35,85.78
31,1,False,False,greedy,first,False,20,10000,78,1979661510,0.6,83.49,86.03
