sol_id,cargolist,ships,constr,algo,b_var,hc,hc_n,iter_n,packages_n,total_costs,total_costs_pct,mass_pct,volume_pct
0,3,True,False,bin,best,True,100,1,1250,41159705780,12.37,79.18,77.59
1,3,True,False,bin,best,True,100,1,1250,41159705780,12.37,79.18,77.59
2,3,True,False,bin,best,True,100,1,1250,41159705780,12.37,79.18,77.59
3,3,True,False,bin,best,True,100,1,1250,41159594515,12.37,79.07,77.58
4,3,True,False,bin,best,True,100,1,1250,41159594515,12.37,79.07,77.58
5,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
6,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
7,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
8,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
9,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
10,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
11,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
12,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
13,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
14,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
15,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
16,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
17,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
18,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
19,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
20,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
21,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
22,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
23,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
24,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
25,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
26,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
27,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
28,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
29,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
30,3,True,False,bin,best,True,100,1,1250,41159096665,12.37,79.02,77.54
31,3,True,False,bin,best,True,100,1,1250,41158867315,12.37,79.02,77.58
32,3,True,False,bin,best,True,100,1,1250,41158867315,12.37,79.02,77.58
33,3,True,False,bin,best,True,100,1,1250,41158867315,12.37,79.02,77.58
34,3,True,False,bin,best,True,100,1,1250,41158867315,12.37,79.02,77.58
35,3,True,False,bin,best,True,100,1,1250,41158867315,12.37,79.02,77.58
