sol_id,cargolist,ships,constr,algo,b_var,hc,hc_n,iter_n,packages_n,total_costs,total_costs_pct,mass_pct,volume_pct
0,3,True,False,random,first,False,20,1000,1250,42353798240,12.73,82.18,74.14
1,3,True,False,random,first,False,20,1000,1250,42892143740,12.89,82.55,75.02
2,3,True,False,random,first,False,20,1000,1250,42895909635,12.9,82.16,74.87
3,3,True,False,random,first,False,20,1000,1250,42349064300,12.73,82.44,73.67
4,3,True,False,random,first,False,20,1000,1250,42893666105,12.89,82.12,74.68
5,3,True,False,random,first,False,20,1000,1250,42898509545,12.9,82.22,74.58
6,3,True,False,random,first,False,20,1000,1250,42899390470,12.9,82.02,75.0
7,3,True,False,random,first,False,20,1000,1250,42891603455,12.89,82.36,74.29
8,3,True,False,random,first,False,20,1000,1250,42894592480,12.9,82.34,74.03
9,3,True,False,random,first,False,20,1000,1250,42897611860,12.9,82.1,74.53
10,3,True,False,random,first,False,20,1000,1250,42896914870,12.9,82.43,74.59
11,3,True,False,random,first,False,20,1000,1250,42894712345,12.9,82.31,74.9
12,3,True,False,random,first,False,20,1000,1250,42899137535,12.9,82.33,73.82
13,3,True,False,random,first,False,20,1000,1250,42896429755,12.9,82.24,74.79
14,3,True,False,random,first,False,20,1000,1250,42897439585,12.9,82.47,73.95
15,3,True,False,random,first,False,20,1000,1250,42900673300,12.9,82.32,73.94
16,3,True,False,random,first,False,20,1000,1250,42347724560,12.73,82.39,74.02
17,3,True,False,random,first,False,20,1000,1250,42899746010,12.9,82.16,74.72
18,3,True,False,random,first,False,20,1000,1250,42349508465,12.73,82.22,74.4
19,3,True,False,random,first,False,20,1000,1250,42892494950,12.89,82.48,74.93
20,3,True,False,random,first,False,20,1000,1250,42351358610,12.73,82.17,74.37
21,3,True,False,random,first,False,20,1000,1250,42897829125,12.9,82.23,75.23
22,3,True,False,random,first,False,20,1000,1250,42900766645,12.9,82.32,74.39
23,3,True,False,random,first,False,20,1000,1250,42895613705,12.9,82.3,74.05
24,3,True,False,random,first,False,20,1000,1250,42352190800,12.73,82.19,74.28
25,3,True,False,random,first,False,20,1000,1250,42898702595,12.9,82.42,75.13
26,3,True,False,random,first,False,20,1000,1250,42898553370,12.9,82.11,74.59
27,3,True,False,random,first,False,20,1000,1250,42898679810,12.9,82.05,74.7
28,3,True,False,random,first,False,20,1000,1250,42892777980,12.89,82.57,75.05
29,3,True,False,random,first,False,20,1000,1250,42895398120,12.9,81.87,74.87
30,3,True,False,random,first,False,20,1000,1250,42898954360,12.9,82.24,73.91
31,3,True,False,random,first,False,20,1000,1250,42894634035,12.9,82.19,74.96
32,3,True,False,random,first,False,20,1000,1250,42896829155,12.9,81.92,74.79
33,3,True,False,random,first,False,20,1000,1250,43385550350,13.04,82.8,75.65
34,3,True,False,random,first,False,20,1000,1250,42895780655,12.9,82.21,74.74
35,3,True,False,random,first,False,20,1000,1250,42897330665,12.9,82.29,74.34
36,3,True,False,random,first,False,20,1000,1250,42893224755,12.89,82.31,75.06
37,3,True,False,random,first,False,20,1000,1250,42898929140,12.9,82.2,74.5
38,3,True,False,random,first,False,20,1000,1250,42896703970,12.9,82.09,74.86
39,3,True,False,random,first,False,20,1000,1250,42895475470,12.9,82.24,74.85
40,3,True,False,random,first,False,20,1000,1250,42345455710,12.73,82.27,74.04
41,3,True,False,random,first,False,20,1000,1250,42894544995,12.9,82.25,74.79
42,3,True,False,random,first,False,20,1000,1250,42893784855,12.89,82.42,74.87
43,3,True,False,random,first,False,20,1000,1250,42895657650,12.9,82.22,74.7
44,3,True,False,random,first,False,20,1000,1250,42901764030,12.9,81.97,74.66
45,3,True,False,random,first,False,20,1000,1250,42887263385,12.89,82.4,74.99
46,3,True,False,random,first,False,20,1000,1250,42898280990,12.9,82.39,75.12
47,3,True,False,random,first,False,20,1000,1250,42898833765,12.9,82.33,74.08
48,3,True,False,random,first,False,20,1000,1250,42897444480,12.9,82.05,74.44
49,3,True,False,random,first,False,20,1000,1250,42896309630,12.9,82.14,74.89
50,3,True,False,random,first,False,20,1000,1250,42351098040,12.73,82.07,74.22
51,3,True,False,random,first,False,20,1000,1250,43384790880,13.04,82.85,75.26
52,3,True,False,random,first,False,20,1000,1250,42894270800,12.9,82.23,74.92
53,3,True,False,random,first,False,20,1000,1250,42901058740,12.9,82.34,74.16
54,3,True,False,random,first,False,20,1000,1250,42898704420,12.9,82.18,74.18
55,3,True,False,random,first,False,20,1000,1250,42349192525,12.73,82.05,74.12
56,3,True,False,random,first,False,20,1000,1250,42892953595,12.89,82.55,74.3
57,3,True,False,random,first,False,20,1000,1250,42894848535,12.9,82.2,74.25
58,3,True,False,random,first,False,20,1000,1250,42900357110,12.9,82.38,74.91
59,3,True,False,random,first,False,20,1000,1250,43381052895,13.04,82.2,75.58
60,3,True,False,random,first,False,20,1000,1250,42344531880,12.73,82.28,74.23
61,3,True,False,random,first,False,20,1000,1250,42893012375,12.89,82.49,74.53
62,3,True,False,random,first,False,20,1000,1250,42893553520,12.89,82.31,74.09
63,3,True,False,random,first,False,20,1000,1250,42894456590,12.9,82.14,74.85
64,3,True,False,random,first,False,20,1000,1250,42894170880,12.9,82.46,74.87
65,3,True,False,random,first,False,20,1000,1250,42894925575,12.9,82.01,74.83
66,3,True,False,random,first,False,20,1000,1250,42897296740,12.9,81.98,74.79
67,3,True,False,random,first,False,20,1000,1250,42894296230,12.9,82.11,74.81
68,3,True,False,random,first,False,20,1000,1250,43385973015,13.04,82.65,74.9
69,3,True,False,random,first,False,20,1000,1250,42898428670,12.9,82.29,74.52
70,3,True,False,random,first,False,20,1000,1250,42892948150,12.89,81.93,75.16
71,3,True,False,random,first,False,20,1000,1250,42894540885,12.9,82.41,74.82
72,3,True,False,random,first,False,20,1000,1250,42896234595,12.9,82.38,74.5
73,3,True,False,random,first,False,20,1000,1250,42893380280,12.89,82.59,74.82
74,3,True,False,random,first,False,20,1000,1250,42350249605,12.73,82.36,73.97
75,3,True,False,random,first,False,20,1000,1250,42896381445,12.9,82.4,74.5
76,3,True,False,random,first,False,20,1000,1250,42892790710,12.89,82.57,74.68
77,3,True,False,random,first,False,20,1000,1250,42896324040,12.9,82.46,74.72
78,3,True,False,random,first,False,20,1000,1250,42893480665,12.89,82.36,74.61
79,3,True,False,random,first,False,20,1000,1250,42896666870,12.9,82.36,74.52
80,3,True,False,random,first,False,20,1000,1250,42897123805,12.9,81.84,74.88
81,3,True,False,random,first,False,20,1000,1250,42899422200,12.9,82.16,74.72
82,3,True,False,random,first,False,20,1000,1250,42892148355,12.89,82.4,74.81
83,3,True,False,random,first,False,20,1000,1250,42896178895,12.9,82.39,74.76
84,3,True,False,random,first,False,20,1000,1250,42900304475,12.9,82.23,74.4
85,3,True,False,random,first,False,20,1000,1250,42895874420,12.9,82.22,74.96
86,3,True,False,random,first,False,20,1000,1250,42897500810,12.9,82.16,74.15
87,3,True,False,random,first,False,20,1000,1250,42902033520,12.9,82.13,74.12
88,3,True,False,random,first,False,20,1000,1250,42893522200,12.89,82.03,75.02
89,3,True,False,random,first,False,20,1000,1250,42895113785,12.9,81.77,75.02
90,3,True,False,random,first,False,20,1000,1250,42895567050,12.9,82.07,74.92
91,3,True,False,random,first,False,20,1000,1250,42894724035,12.9,82.2,74.42
92,3,True,False,random,first,False,20,1000,1250,42891037955,12.89,82.31,73.67
93,3,True,False,random,first,False,20,1000,1250,42894741850,12.9,82.25,74.6
94,3,True,False,random,first,False,20,1000,1250,42896215725,12.9,81.94,74.69
95,3,True,False,random,first,False,20,1000,1250,42897167095,12.9,82.23,74.93
96,3,True,False,random,first,False,20,1000,1250,42898623775,12.9,82.38,74.6
97,3,True,False,random,first,False,20,1000,1250,42893416665,12.89,82.45,74.44
98,3,True,False,random,first,False,20,1000,1250,42893444735,12.89,81.62,75.22
99,3,True,False,random,first,False,20,1000,1250,43388438015,13.04,82.48,75.16
100,3,True,False,random,first,False,20,1000,1250,42898687030,12.9,82.38,74.61
101,3,True,False,random,first,False,20,1000,1250,42894457255,12.9,82.23,74.8
102,3,True,False,random,first,False,20,1000,1250,42351371950,12.73,81.97,74.29
103,3,True,False,random,first,False,20,1000,1250,42902368700,12.9,82.05,74.52
104,3,True,False,random,first,False,20,1000,1250,42899467155,12.9,82.19,74.39
105,3,True,False,random,first,False,20,1000,1250,43383602090,13.04,82.46,74.76
106,3,True,False,random,first,False,20,1000,1250,42893483670,12.89,82.29,74.99
107,3,True,False,random,first,False,20,1000,1250,42895213220,12.9,82.31,75.1
108,3,True,False,random,first,False,20,1000,1250,43383095320,13.04,82.7,74.52
109,3,True,False,random,first,False,20,1000,1250,42892808095,12.89,82.22,74.51
110,3,True,False,random,first,False,20,1000,1250,42895969905,12.9,82.41,75.28
111,3,True,False,random,first,False,20,1000,1250,42898739245,12.9,82.29,74.87
112,3,True,False,random,first,False,20,1000,1250,42894657620,12.9,82.25,74.67
113,3,True,False,random,first,False,20,1000,1250,42896362355,12.9,82.29,74.46
114,3,True,False,random,first,False,20,1000,1250,42896101405,12.9,82.15,74.67
115,3,True,False,random,first,False,20,1000,1250,42351542035,12.73,82.37,74.33
116,3,True,False,random,first,False,20,1000,1250,42900584660,12.9,82.29,74.94
117,3,True,False,random,first,False,20,1000,1250,42893689580,12.89,82.01,74.97
118,3,True,False,random,first,False,20,1000,1250,42899421325,12.9,82.17,74.16
119,3,True,False,random,first,False,20,1000,1250,42896475155,12.9,82.32,74.3
120,3,True,False,random,first,False,20,1000,1250,42895899425,12.9,82.13,74.91
121,3,True,False,random,first,False,20,1000,1250,42899226230,12.9,81.98,74.17
122,3,True,False,random,first,False,20,1000,1250,42897312590,12.9,82.19,74.3
123,3,True,False,random,first,False,20,1000,1250,42899028465,12.9,82.23,74.64
124,3,True,False,random,first,False,20,1000,1250,42898836370,12.9,81.87,74.46
125,3,True,False,random,first,False,20,1000,1250,42896554010,12.9,82.44,74.42
126,3,True,False,random,first,False,20,1000,1250,42891630095,12.89,82.1,74.98
127,3,True,False,random,first,False,20,1000,1250,42895744880,12.9,82.15,75.26
128,3,True,False,random,first,False,20,1000,1250,44726086880,13.45,83.19,75.84
129,3,True,False,random,first,False,20,1000,1250,42894062195,12.89,81.9,74.68
130,3,True,False,random,first,False,20,1000,1250,42895915680,12.9,82.4,74.91
131,3,True,False,random,first,False,20,1000,1250,42894582900,12.9,82.35,75.03
132,3,True,False,random,first,False,20,1000,1250,42901505715,12.9,82.21,74.7
133,3,True,False,random,first,False,20,1000,1250,43386429255,13.04,82.6,75.01
134,3,True,False,random,first,False,20,1000,1250,42896003575,12.9,81.89,74.0
135,3,True,False,random,first,False,20,1000,1250,42896821380,12.9,82.16,74.91
136,3,True,False,random,first,False,20,1000,1250,42898245570,12.9,82.4,74.19
137,3,True,False,random,first,False,20,1000,1250,42894530655,12.9,82.13,74.88
138,3,True,False,random,first,False,20,1000,1250,42895480325,12.9,82.1,74.66
139,3,True,False,random,first,False,20,1000,1250,42898340600,12.9,82.39,74.41
140,3,True,False,random,first,False,20,1000,1250,42894647340,12.9,82.31,75.16
141,3,True,False,random,first,False,20,1000,1250,42897857285,12.9,81.94,74.64
142,3,True,False,random,first,False,20,1000,1250,42897475715,12.9,82.28,74.58
143,3,True,False,random,first,False,20,1000,1250,42895560700,12.9,82.03,75.11
144,3,True,False,random,first,False,20,1000,1250,42896928410,12.9,82.24,74.65
145,3,True,False,random,first,False,20,1000,1250,42896771085,12.9,82.41,74.69
146,3,True,False,random,first,False,20,1000,1250,42892528900,12.89,82.11,75.34
147,3,True,False,random,first,False,20,1000,1250,43386887390,13.04,82.78,75.23
148,3,True,False,random,first,False,20,1000,1250,42890846005,12.89,82.33,74.85
149,3,True,False,random,first,False,20,1000,1250,42894432225,12.9,82.11,75.26
150,3,True,False,random,first,False,20,1000,1250,42896527445,12.9,82.3,74.46
151,3,True,False,random,first,False,20,1000,1250,42894724990,12.9,82.11,75.07
152,3,True,False,random,first,False,20,1000,1250,42899967605,12.9,82.18,74.58
153,3,True,False,random,first,False,20,1000,1250,42898893630,12.9,82.27,74.48
154,3,True,False,random,first,False,20,1000,1250,42896970005,12.9,82.12,74.86
155,3,True,False,random,first,False,20,1000,1250,42348662435,12.73,82.38,74.18
156,3,True,False,random,first,False,20,1000,1250,42895572230,12.9,82.16,74.37
157,3,True,False,random,first,False,20,1000,1250,42892003555,12.89,82.26,75.13
158,3,True,False,random,first,False,20,1000,1250,42896235240,12.9,82.39,74.53
159,3,True,False,random,first,False,20,1000,1250,42903617010,12.9,82.07,74.32
160,3,True,False,random,first,False,20,1000,1250,42898251500,12.9,82.07,74.55
161,3,True,False,random,first,False,20,1000,1250,42896954135,12.9,82.32,74.4
162,3,True,False,random,first,False,20,1000,1250,42895399340,12.9,81.99,74.65
163,3,True,False,random,first,False,20,1000,1250,42898287610,12.9,82.13,74.56
164,3,True,False,random,first,False,20,1000,1250,42889950205,12.89,82.28,75.06
165,3,True,False,random,first,False,20,1000,1250,42897070460,12.9,82.2,74.44
166,3,True,False,random,first,False,20,1000,1250,42895201725,12.9,82.08,74.63
167,3,True,False,random,first,False,20,1000,1250,42898264330,12.9,82.16,74.69
168,3,True,False,random,first,False,20,1000,1250,42894375760,12.9,82.33,74.04
169,3,True,False,random,first,False,20,1000,1250,42895790930,12.9,82.25,75.03
170,3,True,False,random,first,False,20,1000,1250,42894104425,12.9,81.98,74.83
171,3,True,False,random,first,False,20,1000,1250,42890723435,12.89,82.11,75.22
172,3,True,False,random,first,False,20,1000,1250,42897240375,12.9,82.18,74.52
173,3,True,False,random,first,False,20,1000,1250,42895983575,12.9,82.2,74.44
174,3,True,False,random,first,False,20,1000,1250,43381865160,13.04,82.4,75.34
175,3,True,False,random,first,False,20,1000,1250,42896993615,12.9,82.06,74.77
