parcel_ID,weight (kg),volume (m^3)
1,159.5,0.516
2,151.5,0.459
3,138.7,0.363
4,136.7,0.702
5,177.5,0.458
6,64.4,0.506
7,157.5,0.528
8,197.9,0.516
9,102.3,0.522
10,187.8,0.491
11,196.6,0.441
12,140.8,0.516
13,187.1,0.346
14,251.4,0.356
15,64.5,0.465
16,195.2,0.471
17,229.3,0.468
18,108.3,0.408
19,175,0.529
20,172.5,0.468
21,196.6,0.425
22,210.8,0.688
23,203,0.498
24,179.6,0.575
25,213.6,0.451
26,148.1,0.641
27,181.6,0.452
28,127,0.403
29,125.3,0.61
30,148,0.67
31,184.6,0.586
32,205.9,0.493
33,136.1,0.79
34,269.3,0.839
35,146.3,0.439
36,202.3,0.536
37,147,0.552
38,193.6,0.579
39,198.8,0.606
40,123.3,0.402
41,164.1,0.435
42,175,0.548
43,132.3,0.569
44,227.7,0.684
45,141.4,0.444
46,139.8,0.367
47,171,0.513
48,126.6,0.474
49,129.1,0.607
50,205.3,0.591
51,253.1,0.473
52,134.6,0.668
53,127.3,0.33
54,129.5,0.302
55,131.5,0.409
56,106,0.732
57,267.4,0.636
58,155.3,0.406
59,96.2,0.554
60,142.5,0.371
61,219.1,0.638
62,171.3,0.582
63,172.3,0.495
64,108.4,0.595
65,181.5,0.498
66,185.1,0.512
67,124,0.511
68,135.5,0.611
69,183.6,0.383
70,172.3,0.423
71,137.2,0.597
72,176,0.542
73,193.9,0.448
74,105.7,0.505
75,156.4,0.512
76,129.3,0.487
77,100.2,0.46
78,122.8,0.484
79,105.7,0.576
80,134.3,0.702
81,119.8,0.508
82,213.4,0.588
83,253.2,0.533
84,236.6,0.608
85,139.6,0.386
86,150,0.765
87,162.8,0.464
88,219.1,0.431
89,213.6,0.482
90,115.4,0.849
91,143.7,0.518
92,128.7,0.63
93,217.8,0.614
94,80.3,0.375
95,157.3,0.438
96,151.3,0.576
97,156.7,0.573
98,136.5,0.51
99,149.2,0.586
100,148.5,0.564
