sol_id,cargolist,ships,constr,algo,b_var,hc,hc_n,iter_n,packages_n,total_costs,total_costs_pct,mass_pct,volume_pct
0,3,True,False,greedy,first,True,1000,50,1250,43615568995,13.11,79.24,77.43
1,3,True,False,greedy,first,True,1000,50,1250,43614830260,13.11,79.63,77.45
2,3,True,False,greedy,first,True,1000,50,1250,43614614170,13.11,79.35,77.52
3,3,True,False,greedy,first,True,1000,50,1250,43614379215,13.11,79.67,77.36
4,3,True,False,greedy,first,True,1000,50,1250,43614261415,13.11,79.34,77.36
5,3,True,False,greedy,first,True,1000,50,1250,43613777335,13.11,79.48,77.4
sol_id,cargolist,ships,constr,algo,b_var,hc,hc_n,iter_n,packages_n,total_costs,total_costs_pct,mass_pct,volume_pct
0,3,True,False,greedy,first,True,1000,50,1250,43615568995,13.11,79.24,77.43
1,3,True,False,greedy,first,True,1000,50,1250,43611673565,13.11,79.0,77.42
2,3,True,False,greedy,first,True,1000,50,1250,43613861355,13.11,79.22,77.68
3,3,True,False,greedy,first,True,1000,50,1250,43611167095,13.11,78.97,77.57
4,3,True,False,greedy,first,True,1000,50,1250,43612310825,13.11,79.2,77.33
5,3,True,False,greedy,first,True,1000,50,1250,43612160315,13.11,78.75,77.52
6,3,True,False,greedy,first,True,1000,50,1250,43612299935,13.11,79.22,77.68
7,3,True,False,greedy,first,True,1000,50,1250,43613920800,13.11,78.94,76.9
8,3,True,False,greedy,first,True,1000,50,1250,43609735750,13.11,79.29,77.36
9,3,True,False,greedy,first,True,1000,50,1250,43612432835,13.11,79.25,77.22
10,3,True,False,greedy,first,True,1000,50,1250,43610432005,13.11,79.07,77.29
11,3,True,False,greedy,first,True,1000,50,1250,43614169615,13.11,79.25,77.6
12,3,True,False,greedy,first,True,1000,50,1250,43612636500,13.11,79.12,77.27
13,3,True,False,greedy,first,True,1000,50,1250,43614162865,13.11,79.04,76.9
14,3,True,False,greedy,first,True,1000,50,1250,43613298475,13.11,78.9,77.37
15,3,True,False,greedy,first,True,1000,50,1250,43613744830,13.11,79.21,77.5
16,3,True,False,greedy,first,True,1000,50,1250,43611928575,13.11,78.98,77.06
17,3,True,False,greedy,first,True,1000,50,1250,43611352040,13.11,79.08,77.28
18,3,True,False,greedy,first,True,1000,50,1250,43609030815,13.11,78.99,77.08
19,3,True,False,greedy,first,True,1000,50,1250,43614052595,13.11,79.07,77.41
20,3,True,False,greedy,first,True,1000,50,1250,43612163325,13.11,79.16,77.06
21,3,True,False,greedy,first,True,1000,50,1250,43612644145,13.11,79.13,77.35
22,3,True,False,greedy,first,True,1000,50,1250,43616585325,13.11,79.02,77.37
23,3,True,False,greedy,first,True,1000,50,1250,43609461675,13.11,79.06,77.48
24,3,True,False,greedy,first,True,1000,50,1250,43612051810,13.11,79.23,77.24
25,3,True,False,greedy,first,True,1000,50,1250,43613254240,13.11,78.88,77.02
26,3,True,False,greedy,first,True,1000,50,1250,43612575325,13.11,79.08,77.14
27,3,True,False,greedy,first,True,1000,50,1250,43612871730,13.11,79.12,77.09
28,3,True,False,greedy,first,True,1000,50,1250,43614855435,13.11,79.26,77.26
29,3,True,False,greedy,first,True,1000,50,1250,43613341275,13.11,79.13,77.29
30,3,True,False,greedy,first,True,1000,50,1250,43613811220,13.11,79.37,77.31
31,3,True,False,greedy,first,True,1000,50,1250,43612522165,13.11,78.93,77.07
32,3,True,False,greedy,first,True,1000,50,1250,43611632660,13.11,78.98,77.59
33,3,True,False,greedy,first,True,1000,50,1250,43612861105,13.11,79.28,77.21
34,3,True,False,greedy,first,True,1000,50,1250,43611507935,13.11,79.11,77.27
35,3,True,False,greedy,first,True,1000,50,1250,43610176090,13.11,78.9,77.14
36,3,True,False,greedy,first,True,1000,50,1250,43616521875,13.11,79.21,77.73
37,3,True,False,greedy,first,True,1000,50,1250,43611574720,13.11,78.98,77.22
38,3,True,False,greedy,first,True,1000,50,1250,43610878230,13.11,79.22,77.3
39,3,True,False,greedy,first,True,1000,50,1250,43614737545,13.11,78.92,77.54
40,3,True,False,greedy,first,True,1000,50,1250,43614681500,13.11,79.16,77.64
41,3,True,False,greedy,first,True,1000,50,1250,43614012490,13.11,79.21,77.43
42,3,True,False,greedy,first,True,1000,50,1250,43612494395,13.11,79.03,77.27
43,3,True,False,greedy,first,True,1000,50,1250,43613649615,13.11,79.23,77.52
44,3,True,False,greedy,first,True,1000,50,1250,43610114765,13.11,78.96,77.02
45,3,True,False,greedy,first,True,1000,50,1250,43616848890,13.11,79.4,77.3
46,3,True,False,greedy,first,True,1000,50,1250,43612664165,13.11,79.02,77.05
47,3,True,False,greedy,first,True,1000,50,1250,43614987995,13.11,79.27,77.42
48,3,True,False,greedy,first,True,1000,50,1250,43613112130,13.11,79.32,77.8
49,3,True,False,greedy,first,True,1000,50,1250,43615284090,13.11,79.4,77.41
