sol_id,cargolist,ships,constr,algo,b_var,hc,hc_n,iter_n,packages_n,total_costs,total_costs_pct,mass_pct,volume_pct
0,3,True,False,random,first,False,20,1000,1250,43127796865,12.97,81.24,78.61
1,3,True,False,random,first,False,20,1000,1250,43136342135,12.97,81.0,78.81
2,3,True,False,random,first,False,20,1000,1250,41783990305,12.56,81.46,78.74
3,3,True,False,random,first,False,20,1000,1250,41788304250,12.56,81.9,79.17
4,3,True,False,random,first,False,20,1000,1250,43132279170,12.97,81.5,78.98
5,3,True,False,random,first,False,20,1000,1250,41781756995,12.56,81.35,79.5
6,3,True,False,random,first,False,20,1000,1250,43128695595,12.97,80.97,79.33
7,3,True,False,random,first,False,20,1000,1250,43131304930,12.97,81.32,79.22
8,3,True,False,random,first,False,20,1000,1250,43131629160,12.97,81.08,79.11
9,3,True,False,random,first,False,20,1000,1250,43129475975,12.97,81.5,79.0
10,3,True,False,random,first,False,20,1000,1250,43131091660,12.97,81.55,78.3
11,3,True,False,random,first,False,20,1000,1250,43126683475,12.96,81.02,79.17
12,3,True,False,random,first,False,20,1000,1250,43135810425,12.97,81.25,78.72
13,3,True,False,random,first,False,20,1000,1250,41789297250,12.56,81.26,79.03
14,3,True,False,random,first,False,20,1000,1250,43128795045,12.97,81.41,79.1
15,3,True,False,random,first,False,20,1000,1250,43138232085,12.97,81.33,79.27
16,3,True,False,random,first,False,20,1000,1250,43131105585,12.97,81.61,79.31
17,3,True,False,random,first,False,20,1000,1250,43126600765,12.96,81.46,78.64
18,3,True,False,random,first,False,20,1000,1250,43130267710,12.97,81.4,78.66
19,3,True,False,random,first,False,20,1000,1250,41785665190,12.56,81.86,78.93
20,3,True,False,random,first,False,20,1000,1250,43129392530,12.97,81.13,78.9
21,3,True,False,random,first,False,20,1000,1250,41785120650,12.56,81.94,79.14
22,3,True,False,random,first,False,20,1000,1250,43133755915,12.97,81.56,79.01
23,3,True,False,random,first,False,20,1000,1250,41784941545,12.56,81.33,79.26
24,3,True,False,random,first,False,20,1000,1250,43129725355,12.97,81.39,79.22
25,3,True,False,random,first,False,20,1000,1250,43130257335,12.97,81.43,78.74
26,3,True,False,random,first,False,20,1000,1250,41785383470,12.56,81.74,79.21
27,3,True,False,random,first,False,20,1000,1250,43132191305,12.97,81.45,78.59
28,3,True,False,random,first,False,20,1000,1250,43130856225,12.97,81.12,79.16
29,3,True,False,random,first,False,20,1000,1250,43132836165,12.97,81.29,79.32
30,3,True,False,random,first,False,20,1000,1250,43128306430,12.97,81.6,78.88
31,3,True,False,random,first,False,20,1000,1250,43132489970,12.97,81.19,78.81
32,3,True,False,random,first,False,20,1000,1250,43137733560,12.97,80.98,79.01
33,3,True,False,random,first,False,20,1000,1250,43127830515,12.97,81.06,79.02
34,3,True,False,random,first,False,20,1000,1250,43131460000,12.97,80.94,79.03
35,3,True,False,random,first,False,20,1000,1250,43130272320,12.97,81.83,79.13
36,3,True,False,random,first,False,20,1000,1250,41790022975,12.56,81.72,79.11
37,3,True,False,random,first,False,20,1000,1250,43134405830,12.97,81.0,79.34
38,3,True,False,random,first,False,20,1000,1250,43131843985,12.97,81.2,79.1
39,3,True,False,random,first,False,20,1000,1250,43129297285,12.97,81.37,78.96
40,3,True,False,random,first,False,20,1000,1250,43135758310,12.97,81.48,78.7
41,3,True,False,random,first,False,20,1000,1250,43129509090,12.97,81.24,78.98
42,3,True,False,random,first,False,20,1000,1250,43130011815,12.97,81.47,79.3
43,3,True,False,random,first,False,20,1000,1250,43137090330,12.97,81.3,79.02
44,3,True,False,random,first,False,20,1000,1250,43132926015,12.97,81.58,78.85
45,3,True,False,random,first,False,20,1000,1250,43131765525,12.97,81.53,79.04
46,3,True,False,random,first,False,20,1000,1250,43132445050,12.97,81.33,78.88
47,3,True,False,random,first,False,20,1000,1250,41790823705,12.56,81.76,78.72
48,3,True,False,random,first,False,20,1000,1250,43132248505,12.97,81.39,79.1
49,3,True,False,random,first,False,20,1000,1250,43130291480,12.97,81.32,78.93
50,3,True,False,random,first,False,20,1000,1250,43130421435,12.97,81.53,78.64
