sol_id,cargolist,ships,constr,algo,b_var,hc,hc_n,iter_n,packages_n,total_costs,total_costs_pct,mass_pct,volume_pct
0,3,True,False,random,first,True,1000,1000,1250,41975595400,12.62,79.5,75.62
1,3,True,False,random,first,True,1000,1000,1250,41975413990,12.62,79.35,75.6
2,3,True,False,random,first,True,1000,1000,1250,41975174355,12.62,79.51,75.55
3,3,True,False,random,first,True,1000,1000,1250,41975103090,12.62,79.43,75.52
4,3,True,False,random,first,True,1000,1000,1250,41975096785,12.62,79.41,75.52
5,3,True,False,random,first,True,1000,1000,1250,41974987045,12.62,79.49,75.58
6,3,True,False,random,first,True,1000,1000,1250,41974660355,12.62,79.51,75.58
sol_id,cargolist,ships,constr,algo,b_var,hc,hc_n,iter_n,packages_n,total_costs,total_costs_pct,mass_pct,volume_pct
0,3,True,False,random,first,True,1000,1000,1250,41975595400,12.62,79.5,75.62
1,3,True,False,random,first,True,1000,1000,1250,41978202160,12.62,79.47,75.92
2,3,True,False,random,first,True,1000,1000,1250,42467917365,12.77,80.0,75.01
3,3,True,False,random,first,True,1000,1000,1250,42469359175,12.77,79.53,75.42
4,3,True,False,random,first,True,1000,1000,1250,41975043770,12.62,79.3,75.27
5,3,True,False,random,first,True,1000,1000,1250,41972649680,12.62,79.54,75.32
6,3,True,False,random,first,True,1000,1000,1250,41976680335,12.62,79.86,75.68
7,3,True,False,random,first,True,1000,1000,1250,42465341180,12.77,80.46,75.49
8,3,True,False,random,first,True,1000,1000,1250,41978631505,12.62,79.66,75.23
9,3,True,False,random,first,True,1000,1000,1250,42735939865,12.85,80.79,76.42
10,3,True,False,random,first,True,1000,1000,1250,41979354325,12.62,79.59,75.46
11,3,True,False,random,first,True,1000,1000,1250,42467952930,12.77,79.81,75.93
12,3,True,False,random,first,True,1000,1000,1250,42464588390,12.77,79.59,75.53
13,3,True,False,random,first,True,1000,1000,1250,42466946670,12.77,79.84,75.52
14,3,True,False,random,first,True,1000,1000,1250,42743722875,12.85,80.56,75.74
15,3,True,False,random,first,True,1000,1000,1250,41979555060,12.62,79.65,75.77
16,3,True,False,random,first,True,1000,1000,1250,42468154880,12.77,79.48,75.71
17,3,True,False,random,first,True,1000,1000,1250,42470501120,12.77,79.15,75.88
18,3,True,False,random,first,True,1000,1000,1250,41975998640,12.62,79.24,75.42
19,3,True,False,random,first,True,1000,1000,1250,41979331875,12.62,79.47,75.52
20,3,True,False,random,first,True,1000,1000,1250,41981265100,12.62,79.57,75.88
21,3,True,False,random,first,True,1000,1000,1250,42469512935,12.77,80.11,75.72
22,3,True,False,random,first,True,1000,1000,1250,41979741140,12.62,79.46,75.52
23,3,True,False,random,first,True,1000,1000,1250,42462559180,12.77,80.0,75.58
24,3,True,False,random,first,True,1000,1000,1250,42465387340,12.77,80.2,75.92
25,3,True,False,random,first,True,1000,1000,1250,42466132675,12.77,79.89,75.52
26,3,True,False,random,first,True,1000,1000,1250,42462400815,12.77,80.42,75.53
27,3,True,False,random,first,True,1000,1000,1250,41972004455,12.62,79.68,75.26
28,3,True,False,random,first,True,1000,1000,1250,42474891880,12.77,80.01,75.74
29,3,True,False,random,first,True,1000,1000,1250,42467902115,12.77,79.86,75.31
30,3,True,False,random,first,True,1000,1000,1250,41978194835,12.62,79.62,75.02
31,3,True,False,random,first,True,1000,1000,1250,42465935110,12.77,79.8,75.31
32,3,True,False,random,first,True,1000,1000,1250,42738374320,12.85,80.73,75.83
33,3,True,False,random,first,True,1000,1000,1250,42738964310,12.85,80.37,75.91
34,3,True,False,random,first,True,1000,1000,1250,42468015505,12.77,79.42,75.66
35,3,True,False,random,first,True,1000,1000,1250,42741448655,12.85,80.4,75.6
36,3,True,False,random,first,True,1000,1000,1250,41976416470,12.62,79.43,75.76
37,3,True,False,random,first,True,1000,1000,1250,42465890650,12.77,79.95,75.76
38,3,True,False,random,first,True,1000,1000,1250,41978771635,12.62,79.37,76.04
39,3,True,False,random,first,True,1000,1000,1250,42741435625,12.85,80.43,75.99
40,3,True,False,random,first,True,1000,1000,1250,42467982945,12.77,79.24,75.86
41,3,True,False,random,first,True,1000,1000,1250,42463290225,12.77,80.12,75.81
42,3,True,False,random,first,True,1000,1000,1250,42465486680,12.77,80.11,75.64
43,3,True,False,random,first,True,1000,1000,1250,41979748300,12.62,79.75,75.24
44,3,True,False,random,first,True,1000,1000,1250,42466753505,12.77,79.61,75.48
45,3,True,False,random,first,True,1000,1000,1250,41981011455,12.62,79.45,75.81
46,3,True,False,random,first,True,1000,1000,1250,41982598200,12.62,79.46,75.47
47,3,True,False,random,first,True,1000,1000,1250,42469295530,12.77,80.11,75.33
48,3,True,False,random,first,True,1000,1000,1250,42473579125,12.77,80.12,75.47
49,3,True,False,random,first,True,1000,1000,1250,42464058825,12.77,79.23,75.64
50,3,True,False,random,first,True,1000,1000,1250,41977254925,12.62,79.67,75.34
51,3,True,False,random,first,True,1000,1000,1250,41975565850,12.62,79.67,75.65
52,3,True,False,random,first,True,1000,1000,1250,42744025905,12.85,81.34,76.19
53,3,True,False,random,first,True,1000,1000,1250,42746266300,12.85,80.92,75.87
54,3,True,False,random,first,True,1000,1000,1250,42469229200,12.77,79.69,75.45
55,3,True,False,random,first,True,1000,1000,1250,42740484440,12.85,80.82,76.32
56,3,True,False,random,first,True,1000,1000,1250,42466696650,12.77,80.09,74.96
57,3,True,False,random,first,True,1000,1000,1250,42464936055,12.77,80.17,75.49
58,3,True,False,random,first,True,1000,1000,1250,42468818545,12.77,79.95,75.96
59,3,True,False,random,first,True,1000,1000,1250,42467833475,12.77,80.53,75.36
60,3,True,False,random,first,True,1000,1000,1250,41979774420,12.62,79.59,75.62
61,3,True,False,random,first,True,1000,1000,1250,41981329600,12.62,79.78,75.6
62,3,True,False,random,first,True,1000,1000,1250,42464467095,12.77,80.22,75.8
63,3,True,False,random,first,True,1000,1000,1250,41975633955,12.62,79.54,75.56
64,3,True,False,random,first,True,1000,1000,1250,42467823015,12.77,79.96,75.21
65,3,True,False,random,first,True,1000,1000,1250,42465084905,12.77,80.38,75.42
66,3,True,False,random,first,True,1000,1000,1250,41981650270,12.62,79.16,75.84
67,3,True,False,random,first,True,1000,1000,1250,41972586585,12.62,79.77,75.65
68,3,True,False,random,first,True,1000,1000,1250,41982763785,12.62,79.51,75.54
69,3,True,False,random,first,True,1000,1000,1250,42470003105,12.77,80.45,75.49
70,3,True,False,random,first,True,1000,1000,1250,42463276305,12.77,79.24,75.75
71,3,True,False,random,first,True,1000,1000,1250,42467794760,12.77,79.45,75.51
72,3,True,False,random,first,True,1000,1000,1250,42470562570,12.77,80.09,75.4
73,3,True,False,random,first,True,1000,1000,1250,42466997080,12.77,80.57,75.9
74,3,True,False,random,first,True,1000,1000,1250,41979922075,12.62,79.6,75.04
75,3,True,False,random,first,True,1000,1000,1250,41976128065,12.62,79.65,75.96
76,3,True,False,random,first,True,1000,1000,1250,42743177635,12.85,80.35,76.24
77,3,True,False,random,first,True,1000,1000,1250,41976486130,12.62,79.32,75.76
78,3,True,False,random,first,True,1000,1000,1250,41973646050,12.62,79.45,75.59
